Base Currency,Currency,Exchange Rate
AED,AED,1
AED,AFN,17.894784
AED,ALL,22.425535
AED,AMD,103.753369
AED,ANG,0.487406
AED,AOA,250.418198
AED,ARS,395.439074
AED,AUD,0.407736
AED,AWG,0.487406
AED,AZN,0.462351
AED,BAM,0.453529
AED,BBD,0.544588
AED,BDT,33.286351
AED,BGN,0.453529
AED,BHD,0.102383
AED,BIF,805.898348
AED,BMD,0.272294
AED,BND,0.35004
AED,BOB,1.884454
AED,BRL,1.491592
AED,BSD,0.272294
AED,BTN,24.490333
AED,BWP,3.635848
AED,BYN,0.795904
AED,BZD,0.544588
AED,CAD,0.373242
AED,CDF,615.540056
AED,CHF,0.215909
AED,CLF,0.006222
AED,CLP,245.932959
AED,CNH,1.901638
AED,CNY,1.906309
AED,COP,1024.743648
AED,CRC,135.066263
AED,CUP,6.535058
AED,CVE,25.568887
AED,CZK,5.611117
AED,DJF,48.392376
AED,DKK,1.729956
AED,DOP,17.149284
AED,DZD,35.219839
AED,EGP,12.987693
AED,ERN,4.084411
AED,ETB,42.036813
AED,EUR,0.231886
AED,FJD,0.618076
AED,FKP,0.202294
AED,FOK,1.72994
AED,GBP,0.202294
AED,GEL,0.733373
AED,GGP,0.202294
AED,GHS,2.850784
AED,GIP,0.202294
AED,GMD,20.016211
AED,GNF,2378.533068
AED,GTQ,2.085684
AED,GYD,56.872895
AED,HKD,2.119188
AED,HNL,7.171886
AED,HRK,1.747143
AED,HTG,35.626488
AED,HUF,89.248268
AED,IDR,4548.277511
AED,ILS,0.866941
AED,IMP,0.202294
AED,INR,24.490413
AED,IQD,356.236033
AED,IRR,11515.704256
AED,ISK,34.131787
AED,JEP,0.202294
AED,JMD,43.290355
AED,JOD,0.193057
AED,JPY,42.667448
AED,KES,35.082963
AED,KGS,23.787135
AED,KHR,1090.334969
AED,KID,0.407735
AED,KMF,114.08033
AED,KRW,392.882552
AED,KWD,0.083661
AED,KYD,0.226912
AED,KZT,137.183248
AED,LAK,5891.065233
AED,LBP,24370.319946
AED,LKR,84.328884
AED,LRD,48.428472
AED,LSL,4.511302
AED,LYD,1.469963
AED,MAD,2.48127
AED,MDL,4.567112
AED,MGA,1244.254138
AED,MKD,14.256219
AED,MMK,571.291985
AED,MNT,963.671026
AED,MOP,2.182831
AED,MRU,10.830783
AED,MUR,12.565956
AED,MVR,4.202852
AED,MWK,473.270761
AED,MXN,4.900325
AED,MYR,1.104674
AED,MZN,17.38958
AED,NAD,4.511302
AED,NGN,393.312706
AED,NIO,10.001663
AED,NOK,2.745181
AED,NPR,39.184533
AED,NZD,0.472868
AED,OMR,0.104696
AED,PAB,0.272294
AED,PEN,0.915156
AED,PGK,1.158453
AED,PHP,16.057446
AED,PKR,76.357226
AED,PLN,0.978747
AED,PYG,1805.036366
AED,QAR,0.99115
AED,RON,1.181555
AED,RSD,27.215487
AED,RUB,21.681202
AED,RWF,396.645125
AED,SAR,1.021103
AED,SBD,2.210724
AED,SCR,3.873284
AED,SDG,147.918816
AED,SEK,2.509175
AED,SGD,0.35004
AED,SHP,0.202294
AED,SLE,6.533049
AED,SLL,6533.048851
AED,SOS,155.129753
AED,SRD,10.349379
AED,SSP,1257.010736
AED,STN,5.681202
AED,SYP,2997.639841
AED,SZL,4.511302
AED,THB,8.596399
AED,TJS,2.510366
AED,TMT,0.9522
AED,TND,0.786286
AED,TOP,0.652598
AED,TRY,11.696393
AED,TTD,1.845207
AED,TVD,0.407735
AED,TWD,8.548935
AED,TZS,666.449888
AED,UAH,11.524539
AED,UGX,980.578789
AED,USD,0.272294
AED,UYU,10.653948
AED,UZS,3282.488608
AED,VES,82.061511
AED,VND,7128.022566
AED,VUV,32.66965
AED,WST,0.751616
AED,XAF,152.107107
AED,XCD,0.735194
AED,XCG,0.487406
AED,XDR,0.197596
AED,XOF,152.107107
AED,XPF,27.671395
AED,YER,64.816705
AED,ZAR,4.511308
AED,ZMW,6.028653
AED,ZWG,7.074391
AED,ZWL,7.074391
AFN,AFN,1
AFN,AED,0.055882
AFN,ALL,1.253218
AFN,AMD,5.772402
AFN,ANG,0.027237
AFN,AOA,13.916674
AFN,ARS,22.098008
AFN,AUD,0.022793
AFN,AWG,0.027237
AFN,AZN,0.025829
AFN,BAM,0.025379
AFN,BBD,0.030433
AFN,BDT,1.859103
AFN,BGN,0.025379
AFN,BHD,0.005721
AFN,BIF,44.812686
AFN,BMD,0.015216
AFN,BND,0.019585
AFN,BOB,0.10531
AFN,BRL,0.083481
AFN,BSD,0.015216
AFN,BTN,1.369609
AFN,BWP,0.203483
AFN,BYN,0.044658
AFN,BZD,0.030433
AFN,CAD,0.020872
AFN,CDF,34.526918
AFN,CHF,0.012081
AFN,CLF,0.000349
AFN,CLP,13.788247
AFN,CNH,0.106665
AFN,CNY,0.106531
AFN,COP,57.265942
AFN,CRC,7.547966
AFN,CUP,0.365193
AFN,CVE,1.430804
AFN,CZK,0.314524
AFN,DJF,2.704273
AFN,DKK,0.096806
AFN,DOP,0.958363
AFN,DZD,1.9682
AFN,EGP,0.724366
AFN,ERN,0.228246
AFN,ETB,2.351226
AFN,EUR,0.012976
AFN,FJD,0.034539
AFN,FKP,0.01132
AFN,FOK,0.096806
AFN,GBP,0.01132
AFN,GEL,0.04081
AFN,GGP,0.01132
AFN,GHS,0.158659
AFN,GIP,0.01132
AFN,GMD,1.111945
AFN,GNF,132.328663
AFN,GTQ,0.116555
AFN,GYD,3.166682
AFN,HKD,0.118625
AFN,HNL,0.400791
AFN,HRK,0.097768
AFN,HTG,1.983504
AFN,HUF,5.003023
AFN,IDR,256.145334
AFN,ILS,0.048788
AFN,IMP,0.01132
AFN,INR,1.369643
AFN,IQD,19.835208
AFN,IRR,644.043601
AFN,ISK,1.909755
AFN,JEP,0.01132
AFN,JMD,2.419775
AFN,JOD,0.010788
AFN,JPY,2.387305
AFN,KES,1.960033
AFN,KGS,1.324253
AFN,KHR,60.709714
AFN,KID,0.022792
AFN,KMF,6.383796
AFN,KRW,21.994055
AFN,KWD,0.00467
AFN,KYD,0.01268
AFN,KZT,7.681046
AFN,LAK,329.21089
AFN,LBP,1361.86724
AFN,LKR,4.707313
AFN,LRD,2.706375
AFN,LSL,0.252486
AFN,LYD,0.081848
AFN,MAD,0.138604
AFN,MDL,0.254957
AFN,MGA,69.277007
AFN,MKD,0.794957
AFN,MMK,31.925594
AFN,MNT,53.832488
AFN,MOP,0.122181
AFN,MRU,0.603058
AFN,MUR,0.701567
AFN,MVR,0.234892
AFN,MWK,26.257218
AFN,MXN,0.274114
AFN,MYR,0.061853
AFN,MZN,0.96756
AFN,NAD,0.252486
AFN,NGN,21.995241
AFN,NIO,0.558926
AFN,NOK,0.153496
AFN,NPR,2.191374
AFN,NZD,0.026415
AFN,OMR,0.005851
AFN,PAB,0.015216
AFN,PEN,0.051118
AFN,PGK,0.064738
AFN,PHP,0.898273
AFN,PKR,4.272008
AFN,PLN,0.054711
AFN,PYG,100.874882
AFN,QAR,0.055388
AFN,RON,0.066149
AFN,RSD,1.519562
AFN,RUB,1.212369
AFN,RWF,22.03779
AFN,SAR,0.057061
AFN,SBD,0.123859
AFN,SCR,0.218745
AFN,SDG,8.237455
AFN,SEK,0.140348
AFN,SGD,0.019586
AFN,SHP,0.01132
AFN,SLE,0.364089
AFN,SLL,364.089393
AFN,SOS,8.637617
AFN,SRD,0.576253
AFN,SSP,68.823455
AFN,STN,0.317913
AFN,SYP,167.520741
AFN,SZL,0.252486
AFN,THB,0.481943
AFN,TJS,0.13944
AFN,TMT,0.053008
AFN,TND,0.043894
AFN,TOP,0.036578
AFN,TRY,0.654947
AFN,TTD,0.103312
AFN,TVD,0.022792
AFN,TWD,0.477037
AFN,TZS,37.296601
AFN,UAH,0.644772
AFN,UGX,54.883667
AFN,USD,0.015217
AFN,UYU,0.595381
AFN,UZS,183.017794
AFN,VES,4.585873
AFN,VND,396.778672
AFN,VUV,1.827269
AFN,WST,0.042081
AFN,XAF,8.511728
AFN,XCD,0.041084
AFN,XCG,0.027237
AFN,XDR,0.011042
AFN,XOF,8.511728
AFN,XPF,1.548458
AFN,YER,3.622176
AFN,ZAR,0.252489
AFN,ZMW,0.335416
AFN,ZWG,0.395333
AFN,ZWL,0.395341
ALL,ALL,1
ALL,AED,0.044592
ALL,AFN,0.797968
ALL,AMD,4.625979
ALL,ANG,0.021734
ALL,AOA,11.152768
ALL,ARS,17.633429
ALL,AUD,0.018141
ALL,AWG,0.021734
ALL,AZN,0.02061
ALL,BAM,0.0202
ALL,BBD,0.024284
ALL,BDT,1.483464
ALL,BGN,0.0202
ALL,BHD,0.004565
ALL,BIF,35.912715
ALL,BMD,0.012142
ALL,BND,0.015589
ALL,BOB,0.084032
ALL,BRL,0.066444
ALL,BSD,0.012142
ALL,BTN,1.090129
ALL,BWP,0.162375
ALL,BYN,0.035589
ALL,BZD,0.024284
ALL,CAD,0.016612
ALL,CDF,27.669729
ALL,CHF,0.009615
ALL,CLF,0.000278
ALL,CLP,10.974185
ALL,CNH,0.084896
ALL,CNY,0.085006
ALL,COP,45.69544
ALL,CRC,6.022879
ALL,CUP,0.291411
ALL,CVE,1.138835
ALL,CZK,0.250337
ALL,DJF,2.157914
ALL,DKK,0.077052
ALL,DOP,0.764721
ALL,DZD,1.570525
ALL,EGP,0.578009
ALL,ERN,0.182132
ALL,ETB,1.884262
ALL,EUR,0.010328
ALL,FJD,0.02756
ALL,FKP,0.00901
ALL,FOK,0.077052
ALL,GBP,0.00901
ALL,GEL,0.032705
ALL,GGP,0.00901
ALL,GHS,0.127149
ALL,GIP,0.00901
ALL,GMD,0.891108
ALL,GNF,106.047621
ALL,GTQ,0.093005
ALL,GYD,2.537766
ALL,HKD,0.094416
ALL,HNL,0.319809
ALL,HRK,0.077818
ALL,HTG,1.589572
ALL,HUF,3.982054
ALL,IDR,203.879231
ALL,ILS,0.03868
ALL,IMP,0.00901
ALL,INR,1.090129
ALL,IQD,15.895856
ALL,IRR,516.136278
ALL,ISK,1.520018
ALL,JEP,0.00901
ALL,JMD,1.930825
ALL,JOD,0.008609
ALL,JPY,1.900103
ALL,KES,1.564008
ALL,KGS,1.061251
ALL,KHR,48.652536
ALL,KID,0.018141
ALL,KMF,5.081122
ALL,KRW,17.505426
ALL,KWD,0.003726
ALL,KYD,0.010118
ALL,KZT,6.129
ALL,LAK,262.693923
ALL,LBP,1086.721883
ALL,LKR,3.756183
ALL,LRD,2.159519
ALL,LSL,0.200963
ALL,LYD,0.065592
ALL,MAD,0.110599
ALL,MDL,0.203441
ALL,MGA,55.518274
ALL,MKD,0.636962
ALL,MMK,25.475067
ALL,MNT,43.141128
ALL,MOP,0.097249
ALL,MRU,0.483288
ALL,MUR,0.559813
ALL,MVR,0.187432
ALL,MWK,21.04243
ALL,MXN,0.218174
ALL,MYR,0.04923
ALL,MZN,0.775399
ALL,NAD,0.200963
ALL,NGN,17.551026
ALL,NIO,0.445995
ALL,NOK,0.12217
ALL,NPR,1.744206
ALL,NZD,0.021024
ALL,OMR,0.004669
ALL,PAB,0.012142
ALL,PEN,0.040789
ALL,PGK,0.051658
ALL,PHP,0.714952
ALL,PKR,3.408869
ALL,PLN,0.043657
ALL,PYG,80.489478
ALL,QAR,0.044197
ALL,RON,0.052649
ALL,RSD,1.212536
ALL,RUB,0.96741
ALL,RWF,17.660992
ALL,SAR,0.045533
ALL,SBD,0.098834
ALL,SCR,0.174555
ALL,SDG,6.601254
ALL,SEK,0.111706
ALL,SGD,0.015589
ALL,SHP,0.00901
ALL,SLE,0.291728
ALL,SLL,291.727819
ALL,SOS,6.922152
ALL,SRD,0.461807
ALL,SSP,55.145019
ALL,STN,0.25304
ALL,SYP,133.671148
ALL,SZL,0.200963
ALL,THB,0.383584
ALL,TJS,0.111727
ALL,TMT,0.042473
ALL,TND,0.035025
ALL,TOP,0.029149
ALL,TRY,0.521286
ALL,TTD,0.08233
ALL,TVD,0.018141
ALL,TWD,0.380651
ALL,TZS,29.889343
ALL,UAH,0.51319
ALL,UGX,43.983571
ALL,USD,0.012142
ALL,UYU,0.475081
ALL,UZS,146.669992
ALL,VES,3.659293
ALL,VND,316.598764
ALL,VUV,1.456134
ALL,WST,0.033578
ALL,XAF,6.774829
ALL,XCD,0.032784
ALL,XCG,0.021734
ALL,XDR,0.008811
ALL,XOF,6.774829
ALL,XPF,1.23248
ALL,YER,2.890309
ALL,ZAR,0.200963
ALL,ZMW,0.268801
ALL,ZWG,0.315461
ALL,ZWL,0.315462
AMD,AMD,1
AMD,AED,0.009638
AMD,AFN,0.173238
AMD,ALL,0.21617
AMD,ANG,0.004698
AMD,AOA,2.410898
AMD,ARS,3.811337
AMD,AUD,0.00392
AMD,AWG,0.004698
AMD,AZN,0.004457
AMD,BAM,0.004366
AMD,BBD,0.005249
AMD,BDT,0.320712
